change_in_market_value,position,foot,height_in_cm,age,minutes_played,goals,assists,penalty_attempts,yellow_cards,shots,shots_on_target_pct,goals_per_shot,passes,completed_passes_pct,assisted_shots,goal_creating_action,tackles_won_pct,tackles_interceptions,clearances,mistakes_leading_to_opp_shot,dribbles_success,ball_control_failed_attempt,ball_control_lost_after_tackle,fouls,fouled,offside,penalties_won,aerial_success_pct
-500000,Attack,Right,184,38,579,1,1,0,0,16,0.25,0.0625,228,0.75,8,3,0.8181818181818182,14,5,0,16,11,10,6,6,8,0,0.3953488372093023
-1500000,Defender,Right,182,33,1704,0,2,1,6,3,0,0,1250,0.8072,8,3,0.8709677419354839,46,38,1,16,16,8,24,27,4,0,0.5116279069767442
-500000,Midfield,Left,184,36,1923,1,1,0,4,16,0.375,0.0625,963,0.7487019730010385,17,2,0.5428571428571428,49,34,0,10,23,17,28,29,1,0,0.47058823529411764
-5000000,Attack,Right,176,31,2268,10,2,6,5,39,0.282051282051282,0.256410256410256,1241,0.7526188557614827,33,8,0.6785714285714286,44,43,2,9,37,57,35,18,8,0,0.43859649122807015
3000000,Midfield,Right,175,31,1775,0,3,0,3,21,0.238095238095238,0,1636,0.8160146699266504,34,5,0.7758620689655172,79,23,0,12,21,21,29,22,0,0,0.5609756097560976
0,Defender,Right,183,36,2069,0,0,0,6,10,0.1,0,1107,0.8518518518518519,3,1,0.55,50,124,3,1,6,3,17,7,1,0,0.6
-6000000,Attack,Right,195,35,106,0,0,0,0,4,0.25,0,78,0.7564102564102564,2,0,0.5,2,1,0,0,1,2,1,1,2,0,0.7142857142857143
0,Midfield,Right,184,33,2219,1,1,0,0,11,0.181818181818182,0.0909090909090909,1105,0.7628959276018099,23,4,0.5531914893617021,73,33,3,15,24,18,14,25,0,0,0.5
-2500000,Attack,Right,171,34,1088,4,1,0,1,27,0.555555555555556,0.148148148148148,138,0.7101449275362319,13,4,0.75,16,1,0,3,22,16,12,8,9,0,0.10526315789473684
-500000,Midfield,Right,189,36,109,0,0,0,0,2,0.5,0,99,0.8484848484848485,1,1,1,2,3,0,2,0,2,1,1,0,0,0
-2500000,Defender,Both,182,32,547,0,0,0,3,2,0.5,0,242,0.6570247933884298,4,0,0.7142857142857143,17,23,0,3,4,6,6,5,0,0,0.8571428571428571
-500000,Midfield,Right,176,33,2538,0,2,0,6,27,0.185185185185185,0,1644,0.7274939172749392,27,7,0.7469879518072289,140,41,1,12,29,28,45,57,0,0,0.43283582089552236
-500000,Attack,Right,200,36,1567,5,2,0,4,23,0.391304347826087,0.217391304347826,643,0.583203732503888,21,2,0,3,31,0,6,36,22,40,11,14,0,0.6657534246575343
-3000000,Attack,Left,180,33,1507,5,5,1,0,50,0.4,0.1,882,0.8061224489795918,34,14,0.7857142857142857,18,4,0,26,28,15,10,25,9,1,0.5925925925925926
-1000000,Midfield,Right,174,32,737,0,0,0,2,1,0,0,360,0.8333333333333334,4,1,0.7058823529411765,29,22,1,1,3,7,11,11,0,0,0.7222222222222222
-2500000,Attack,Both,170,33,399,0,0,0,0,16,0.3125,0,311,0.797427652733119,11,0,0,2,2,1,7,8,3,4,3,0,0,0
0,Attack,Left,183,30,2081,3,2,1,1,29,0.241379310344828,0.103448275862069,1226,0.7308319738988581,60,6,0.6666666666666666,50,18,2,19,35,26,27,41,5,0,0.3953488372093023
0,Defender,Right,193,34,1718,1,1,0,4,14,0.214285714285714,0.0714285714285714,672,0.7544642857142857,3,2,0.6486486486486487,61,120,4,8,5,3,26,7,2,1,0.5679012345679012
500000,Defender,Left,183,31,2250,2,0,0,6,18,0.277777777777778,0.111111111111111,1486,0.8310901749663526,8,1,0.7777777777777778,74,98,2,7,10,6,34,16,0,0,0.5714285714285714
0,Defender,Left,174,36,577,0,0,0,2,2,0,0,298,0.7080536912751678,2,0,0.75,22,22,0,7,5,5,4,4,4,0,0.6071428571428571
-250000,Attack,Right,174,34,934,2,2,1,1,18,0.333333333333333,0.111111111111111,266,0.6428571428571429,11,3,0.6666666666666666,8,15,0,6,25,12,12,20,11,0,0.43661971830985913
0,Midfield,Right,168,37,860,1,3,0,3,5,0.6,0.2,525,0.819047619047619,7,6,0.6428571428571429,22,5,0,8,12,9,9,16,0,0,0
0,Defender,Right,182,37,883,1,0,0,0,3,0.333333333333333,0.333333333333333,437,0.8466819221967964,3,1,0.5384615384615384,29,72,0,3,4,0,5,10,0,0,0.6774193548387096
0,Attack,Left,176,33,342,0,0,0,3,8,0.125,0,196,0.7448979591836735,10,2,0.7272727272727273,13,3,0,14,10,9,10,3,0,0,0.3333333333333333
0,Midfield,Right,175,34,1621,2,1,0,4,13,0.307692307692308,0.153846153846154,1039,0.7911453320500481,14,2,0.6111111111111112,73,29,0,6,17,20,26,18,1,0,0.5263157894736842
-200000,Defender,Left,182,36,1782,0,0,0,6,4,0.25,0,1068,0.846441947565543,3,0,0.5806451612903226,52,77,2,1,6,2,17,16,0,0,0.625
-400000,Attack,Left,186,35,773,1,0,0,6,11,0.363636363636364,0.0909090909090909,159,0.7672955974842768,10,2,0.5,5,6,0,2,26,12,15,11,10,0,0.5428571428571428
0,Defender,Right,183,36,1190,0,1,0,4,2,0,0,569,0.8664323374340949,3,1,0.6875,28,72,0,1,4,0,14,11,0,0,0.6521739130434783
0,Attack,Right,175,38,560,1,0,0,1,10,0.1,0.1,112,0.6875,8,2,0.3333333333333333,7,2,0,1,17,4,6,11,8,0,0.4318181818181818
-1500000,Midfield,Both,184,34,1829,1,1,0,6,11,0.272727272727273,0.0909090909090909,1300,0.8415384615384616,17,4,0.5652173913043478,66,45,2,9,6,4,26,23,0,0,0.5714285714285714
-300000,Midfield,Right,186,33,1297,0,0,0,4,12,0.333333333333333,0,1008,0.8313492063492064,12,0,0.5757575757575758,56,23,0,7,8,15,18,14,1,0,0.4583333333333333
0,Defender,Right,191,38,1507,0,0,0,4,3,0.333333333333333,0,600,0.775,3,0,0.7368421052631579,65,126,0,4,7,3,18,11,0,0,0.7424242424242424
-1500000,Attack,Right,189,32,2321,9,2,2,3,56,0.392857142857143,0.160714285714286,577,0.6152512998266898,25,10,0.8947368421052632,23,33,0,12,56,37,37,32,11,1,0.49019607843137253
-1000000,Defender,Left,187,31,1921,0,1,0,1,11,0,0,1226,0.6867862969004894,18,4,0.6585365853658537,99,86,0,9,9,10,12,4,0,0,0.6224489795918368
-5000000,Defender,Right,200,32,366,1,0,0,0,2,1,0.5,247,0.9149797570850202,0,0,1,8,22,2,0,2,1,2,4,0,0,0.7857142857142857
-1700000,Midfield,Right,181,32,2494,0,0,0,11,12,0.0833333333333333,0,1691,0.8143110585452396,36,2,0.6785714285714286,114,78,2,11,18,28,39,69,0,0,0.6363636363636364
0,Defender,Right,187,36,1447,0,1,0,2,1,0,0,1266,0.9178515007898894,4,3,0.5769230769230769,43,46,0,2,5,3,10,10,0,0,0.5789473684210527
-500000,Attack,Right,176,25,1033,0,3,0,0,20,0.25,0,421,0.7149643705463183,22,8,0.8260869565217391,35,16,0,12,24,10,8,18,3,1,0.25
-400000,Defender,Left,176,35,1046,0,0,0,5,0,0,0,529,0.77882797731569,4,0,0.6875,61,49,0,8,1,5,19,12,0,0,0.6
-12000000,Midfield,Both,171,33,1824,1,2,0,1,16,0.375,0.0625,1562,0.8655569782330346,17,9,0.7857142857142857,38,12,1,63,27,26,15,40,0,0,0.2222222222222222
-1000000,Midfield,Left,187,34,1154,1,1,0,3,7,0.428571428571429,0.142857142857143,1336,0.9356287425149701,11,5,0.75,49,26,1,5,8,11,27,14,1,0,0.45098039215686275
0,Attack,Right,181,36,2479,4,7,0,7,33,0.424242424242424,0.121212121212121,1348,0.8264094955489614,51,11,0.8636363636363636,37,38,0,64,41,41,21,40,5,1,0.3695652173913043
0,Attack,Right,186,33,982,5,0,1,2,29,0.344827586206897,0.172413793103448,248,0.592741935483871,5,3,0.7272727272727273,13,9,0,17,32,23,17,23,10,0,0.5287356321839081
-1500000,Attack,Right,174,34,1641,2,6,0,4,39,0.435897435897436,0.0512820512820513,455,0.7098901098901099,27,10,0.8,25,12,0,22,63,42,18,35,13,0,0.32
-500000,Attack,Right,184,31,2207,12,3,2,0,48,0.458333333333333,0.25,625,0.6896,15,6,0.5789473684210527,29,29,0,34,49,33,22,34,11,0,0.34375
