Year;Team;League;League Rank;Matches Played;Wins;Draws;Losses;Goals For;Goals Against;Goal Difference;Points;Points per match;Exp. Goals;Exp. Goals against;Exp. Goal difference;Exp. Goal difference/90 min;Attendance;Top Team Scorer;Goalkeeper
2018;Manchester City;eng ENG;1;38;32;4;2;106;27;79;100;2.63;78.6;23.8;54.8;1.44;54070;Sergio Agüero - 21;Ederson
2018;Juventus;it ITA;1;38;30;5;3;86;24;62;95;2.5;55.3;27.4;27.9;0.73;39316;Paulo Dybala - 22;Gianluigi Buffon
2018;Bayern Munich;de GER;1;34;27;3;4;92;28;64;84;2.47;75.8;31.7;44.1;1.3;75000;Robert Lewandowski - 29;Sven Ulreich
2018;Paris S-G;fr FRA;1;38;29;6;3;108;29;79;93;2.45;86.1;34.3;51.7;1.36;46930;Edinson Cavani - 28;Alphonse Areola
2018;Barcelona;es ESP;1;38;28;9;1;99;29;70;93;2.45;83.5;41.9;41.6;1.09;67142;Lionel Messi - 34;Marc-André ter Stegen
2018;Napoli;it ITA;2;38;28;7;3;77;29;48;91;2.39;67.1;27.1;40.1;1.05;43050;Dries Mertens - 18;Pepe Reina
2018;Manchester Utd;eng ENG;2;38;25;6;7;68;28;40;81;2.13;55.7;40.7;15;0.4;74976;Romelu Lukaku - 16;David de Gea
2018;Monaco;fr FRA;2;38;24;8;6;85;45;40;80;2.11;62.3;48.5;13.8;0.36;9243;Radamel Falcao - 18;Danijel Subašić
2018;Atlético Madrid;es ESP;2;38;23;10;5;58;22;36;79;2.08;50.2;35.8;14.4;0.38;52707;Antoine Griezmann - 19;Jan Oblak
2018;Lyon;fr FRA;3;38;23;9;6;87;43;44;78;2.05;63.4;40.1;23.3;0.61;44047;Memphis - 19;Anthony Lopes
2018;Tottenham;eng ENG;3;38;23;8;7;74;36;38;77;2.03;64.7;33.9;30.8;0.81;67953;Harry Kane - 30;Hugo Lloris
2018;Marseille;fr FRA;4;38;22;11;5;80;47;33;77;2.03;78.1;41.8;36.3;0.96;46616;Florian Thauvin - 22;Steve Mandanda
2018;Roma;it ITA;3;38;23;8;7;61;28;33;77;2.03;63.4;37.2;26.2;0.69;37450;Edin Džeko - 16;Alisson
2018;Real Madrid;es ESP;3;38;22;10;6;94;44;50;76;2;85.4;43.2;42.2;1.11;66863;Cristiano Ronaldo - 26;Keylor Navas
2018;Liverpool;eng ENG;4;38;21;12;5;84;38;46;75;1.97;72.9;33.8;39.1;1.03;53049;Mohamed Salah - 32;Loris Karius Simon Mignolet
2018;Valencia;es ESP;4;38;22;7;9;65;38;27;73;1.92;56;48.3;7.7;0.2;38607;Rodrigo - 16;Neto
2018;Lazio;it ITA;5;38;21;9;8;89;49;40;72;1.89;63.7;43.9;19.9;0.52;30990;Ciro Immobile - 29;Thomas Strakosha
2018;Inter;it ITA;4;38;20;12;6;66;30;36;72;1.89;56.7;37.2;19.6;0.52;57529;Mauro Icardi - 29;Samir Handanović
2018;Schalke 04;de GER;2;34;18;9;7;53;37;16;63;1.85;46.7;40.2;6.6;0.19;61197;Guido Burgstaller - 11;Ralf Fährmann
2018;Chelsea;eng ENG;5;38;21;7;10;62;38;24;70;1.84;54.4;33.8;20.6;0.54;41282;Eden Hazard - 12;Thibaut Courtois
2018;Milan;it ITA;6;38;18;10;10;56;42;14;64;1.68;51.2;36.9;14.3;0.38;52690;Patrick Cutrone - 10;Gianluigi Donnarumma
2018;Arsenal;eng ENG;6;38;19;6;13;74;51;23;63;1.66;68.3;47.8;20.5;0.54;59323;Alexandre Lacazette - 14;Petr Čech
2018;Hoffenheim;de GER;3;34;15;10;9;66;48;18;55;1.62;50.5;47.2;3.3;0.1;28716;Mark Uth - 14;Oliver Baumann
